sample	line	clone	replicate	condition
A2058_CONTROL_C2_N1	A2058	C02	N1	CONTROL
A2058_CONTROL_C2_N2	A2058	C02	N2	CONTROL
A2058_CONTROL_C2_N3	A2058	C02	N3	CONTROL
A2058_CONTROL_C2_N4	A2058	C02	N4	CONTROL
A2058_CONTROL_C2_N5	A2058	C02	N5	CONTROL
A2058_CONTROL_C3_N1	A2058	C03	N1	CONTROL
A2058_CONTROL_C3_N2	A2058	C03	N2	CONTROL
A2058_CONTROL_C3_N3	A2058	C03	N3	CONTROL
A2058_CONTROL_C3_N4	A2058	C03	N4	CONTROL
A2058_CONTROL_C3_N5	A2058	C03	N5	CONTROL
A2058_CONTROL_C4_N1	A2058	C04	N1	CONTROL
A2058_CONTROL_C4_N2	A2058	C04	N2	CONTROL
A2058_CONTROL_C4_N3	A2058	C04	N3	CONTROL
A2058_CONTROL_C4_N5	A2058	C04	N5	CONTROL
A375_CONTROL_C1_N1	A375	C01	N1	CONTROL
A375_CONTROL_C1_N2	A375	C01	N2	CONTROL
A375_CONTROL_C1_N3	A375	C01	N3	CONTROL
A375_CONTROL_C1_N4	A375	C01	N4	CONTROL
A375_CONTROL_C1_N5	A375	C01	N5	CONTROL
A375_CONTROL_C2_N1	A375	C02	N1	CONTROL
A375_CONTROL_C2_N2	A375	C02	N2	CONTROL
A375_CONTROL_C2_N3	A375	C02	N3	CONTROL
A375_CONTROL_C2_N4	A375	C02	N4	CONTROL
A375_CONTROL_C2_N5	A375	C02	N5	CONTROL
A375_CONTROL_C3_N1	A375	C03	N1	CONTROL
A375_CONTROL_C3_N2	A375	C03	N2	CONTROL
A375_CONTROL_C3_N3	A375	C03	N3	CONTROL
A375_CONTROL_C3_N4	A375	C03	N4	CONTROL
A375_CONTROL_C3_N5	A375	C03	N5	CONTROL
SKMEL28_CONTROL_C4_N1	SKMEL28	C04	N1	CONTROL
SKMEL28_CONTROL_C4_N2	SKMEL28	C04	N2	CONTROL
SKMEL28_CONTROL_C4_N3	SKMEL28	C04	N3	CONTROL
SKMEL28_CONTROL_C4_N4	SKMEL28	C04	N4	CONTROL
SKMEL28_CONTROL_C4_N5	SKMEL28	C04	N5	CONTROL
SKMEL28_CONTROL_C6_N1	SKMEL28	C06	N1	CONTROL
SKMEL28_CONTROL_C6_N2	SKMEL28	C06	N2	CONTROL
SKMEL28_CONTROL_C6_N3	SKMEL28	C06	N3	CONTROL
SKMEL28_CONTROL_C6_N4	SKMEL28	C06	N4	CONTROL
SKMEL28_CONTROL_C6_N5	SKMEL28	C06	N5	CONTROL
SKMEL28_CONTROL_C7_N1	SKMEL28	C07	N1	CONTROL
SKMEL28_CONTROL_C7_N2	SKMEL28	C07	N2	CONTROL
SKMEL28_CONTROL_C7_N3	SKMEL28	C07	N3	CONTROL
SKMEL28_CONTROL_C7_N4	SKMEL28	C07	N4	CONTROL
SKMEL28_CONTROL_C7_N5	SKMEL28	C07	N5	CONTROL
A2058_SIN3B_KO_C18_N1	A2058	C18	N1	SIN3B_KO
A2058_SIN3B_KO_C18_N2	A2058	C18	N2	SIN3B_KO
A2058_SIN3B_KO_C18_N3	A2058	C18	N3	SIN3B_KO
A2058_SIN3B_KO_C18_N4	A2058	C18	N4	SIN3B_KO
A2058_SIN3B_KO_C18_N5	A2058	C18	N5	SIN3B_KO
A2058_SIN3B_KO_C20_N1	A2058	C20	N1	SIN3B_KO
A2058_SIN3B_KO_C20_N2	A2058	C20	N2	SIN3B_KO
A2058_SIN3B_KO_C20_N3	A2058	C20	N3	SIN3B_KO
A2058_SIN3B_KO_C20_N4	A2058	C20	N4	SIN3B_KO
A2058_SIN3B_KO_C20_N5	A2058	C20	N5	SIN3B_KO
A2058_SIN3B_KO_C21_N1	A2058	C21	N1	SIN3B_KO
A2058_SIN3B_KO_C21_N2	A2058	C21	N2	SIN3B_KO
A2058_SIN3B_KO_C21_N3	A2058	C21	N3	SIN3B_KO
A2058_SIN3B_KO_C21_N4	A2058	C21	N4	SIN3B_KO
A2058_SIN3B_KO_C21_N5	A2058	C21	N5	SIN3B_KO
A375_SIN3B_KO_C11_N1	A375	C11	N1	SIN3B_KO
A375_SIN3B_KO_C11_N2	A375	C11	N2	SIN3B_KO
A375_SIN3B_KO_C11_N3	A375	C11	N3	SIN3B_KO
A375_SIN3B_KO_C11_N4	A375	C11	N4	SIN3B_KO
A375_SIN3B_KO_C11_N5	A375	C11	N5	SIN3B_KO
A375_SIN3B_KO_C25_N1	A375	C25	N1	SIN3B_KO
A375_SIN3B_KO_C25_N2	A375	C25	N2	SIN3B_KO
A375_SIN3B_KO_C25_N3	A375	C25	N3	SIN3B_KO
A375_SIN3B_KO_C25_N4	A375	C25	N4	SIN3B_KO
A375_SIN3B_KO_C25_N5	A375	C25	N5	SIN3B_KO
A375_SIN3B_KO_C26_N1	A375	C26	N1	SIN3B_KO
A375_SIN3B_KO_C26_N2	A375	C26	N2	SIN3B_KO
A375_SIN3B_KO_C26_N3	A375	C26	N3	SIN3B_KO
A375_SIN3B_KO_C26_N4	A375	C26	N4	SIN3B_KO
