sample_id	bam_filename	sample	platform	platform_unit	library	readgroup	read_length_r1	read_length_r2	#_mapped_bases	#_mapped_bases_r1	#_mapped_bases_r2	#_divergent_bases	#_divergent_bases_r1	#_divergent_bases_r2	#_total_reads	#_total_reads_r1	#_total_reads_r2	#_mapped_reads	#_mapped_reads_r1	#_mapped_reads_r2	#_mapped_reads_properly_paired	#_gc_bases_r1	#_gc_bases_r2	mean_insert_size	insert_size_sd	median_insert_size	#_duplicate_reads	#_mapped_pairs	#_inter_chr_pairs	#_qc_fail_r1	#_qc_fail_r2
A2058_CONTROL_C2_N1	-	A2058_CONTROL_C2_N1	ILLUMINA	38352_4	266094	589009	101	101	7016907252	3511917017	3504990235	15968810	7720517	8248293	70231056	35115528	35115528	69741806	34910011	34831795	34780565	1768583239	1816690740	3684.296	11269.338	577.000	21703097	34780565	0	0	0
A2058_CONTROL_C2_N1	-	A2058_CONTROL_C2_N1	ILLUMINA	38504_1	266094	591864	101	101	6576405529	3292089621	3284315908	15738210	7706524	8031686	65860230	32930115	32930115	65379293	32729949	32649344	32597571	1655741737	1699330504	3619.492	11158.264	559.000	18448628	32597571	0	0	0
A2058_CONTROL_C2_N1	-	A2058_CONTROL_C2_N1	ILLUMINA	38504_2	266094	591865	101	101	6538789999	3273352600	3265437399	15632161	7580581	8051580	65485720	32742860	32742860	65005035	32543023	32462012	32409796	1646413300	1689836616	3619.637	11172.975	558.000	18590997	32409796	0	0	0
A2058_CONTROL_C2_N2	-	A2058_CONTROL_C2_N2	ILLUMINA	38352_4	266095	589010	101	101	7858230137	3930506192	3927723945	16476806	8514032	7962774	78678090	39339045	39339045	78152770	39104623	39048147	38963319	1966758931	2024280459	3523.219	10719.890	632.000	38021437	38963319	0	0	0
A2058_CONTROL_C2_N2	-	A2058_CONTROL_C2_N2	ILLUMINA	38504_1	266095	591866	101	101	7529669483	3766347436	3763322047	16574439	8725971	7848468	75437436	37718718	37718718	74901753	37477549	37424204	37335464	1882742667	1936683577	3475.031	10651.185	619.000	34367346	37335464	0	0	0
A2058_CONTROL_C2_N2	-	A2058_CONTROL_C2_N2	ILLUMINA	38504_2	266095	591867	101	101	7482725482	3743014519	3739710963	16464492	8584405	7880087	74972256	37486128	37486128	74434371	37244612	37189759	37101781	1871458026	1925130721	3477.654	10641.426	618.000	35035365	37101781	0	0	0
A2058_CONTROL_C2_N3	-	A2058_CONTROL_C2_N3	ILLUMINA	38352_4	266096	589011	101	101	7638067871	3822687149	3815380722	16731371	7899030	8832341	76655056	38327528	38327528	75893300	37990086	37903214	37855047	1893721280	1963300100	4281.988	12083.038	894.000	28574825	37855047	0	0	0
A2058_CONTROL_C2_N3	-	A2058_CONTROL_C2_N3	ILLUMINA	38504_1	266096	591868	101	101	7161067599	3584828185	3576239414	16606481	7902167	8704314	71927466	35963733	35963733	71170189	35631102	35539087	35489669	1775807198	1839419647	4201.603	11933.211	872.000	26520730	35489669	0	0	0
A2058_CONTROL_C2_N3	-	A2058_CONTROL_C2_N3	ILLUMINA	38504_2	266096	591869	101	101	7118688634	3563653769	3555034865	16488022	7765054	8722968	71502966	35751483	35751483	70749440	35420584	35328856	35279178	1765492116	1828536926	4201.085	11933.841	871.000	26614684	35279178	0	0	0
A2058_CONTROL_C2_N4	-	A2058_CONTROL_C2_N4	ILLUMINA	38352_4	266097	589012	101	101	6957999628	3481265450	3476734178	14776704	7382701	7394003	69501646	34750823	34750823	69147163	34605062	34542101	34486180	1723352626	1785581495	4018.772	11734.974	766.000	26127042	34486180	0	0	0
A2058_CONTROL_C2_N4	-	A2058_CONTROL_C2_N4	ILLUMINA	38504_1	266097	591870	101	101	6434689488	3219613855	3215075633	14334309	7305260	7029049	64309800	32154900	32154900	63958483	32008412	31950071	31892272	1592747978	1649260673	3945.102	11592.786	746.000	22401960	31892272	0	0	0
A2058_CONTROL_C2_N4	-	A2058_CONTROL_C2_N4	ILLUMINA	38504_2	266097	591871	101	101	6386197413	3195502597	3190694816	14188325	7162726	7025599	63827108	31913554	31913554	63476295	31768150	31708145	31651702	1581023799	1636881582	3947.602	11608.383	745.000	22615459	31651702	0	0	0
A2058_CONTROL_C2_N5	-	A2058_CONTROL_C2_N5	ILLUMINA	38352_4	266098	589013	101	101	7200887228	3602503007	3598384221	15269853	7864044	7405809	71887566	35943783	35943783	71543656	35805894	35737762	35689316	1766071738	1824528038	4119.163	11885.133	780.000	27395772	35689316	0	0	0
A2058_CONTROL_C2_N5	-	A2058_CONTROL_C2_N5	ILLUMINA	38504_1	266098	591872	101	101	6671911306	3338291435	3333619871	15036992	7853736	7183256	66649352	33324676	33324676	66302320	33184865	33117455	33067584	1634733529	1687334829	4037.907	11730.639	757.000	23802625	33067584	0	0	0
A2058_CONTROL_C2_N5	-	A2058_CONTROL_C2_N5	ILLUMINA	38504_2	266098	591873	101	101	6636572633	3320652355	3315920278	14951436	7733787	7217649	66300688	33150344	33150344	65951216	33009339	32941877	32892064	1626443741	1678697446	4040.272	11748.097	756.000	24065919	32892064	0	0	0
A2058_CONTROL_C3_N1	-	A2058_CONTROL_C3_N1	ILLUMINA	38352_4	266099	589014	101	101	7519667586	3764166113	3755501473	16863632	8083294	8780338	75202338	37601169	37601169	74731427	37413995	37317432	37266371	1884608127	1933767577	3802.815	11506.597	605.000	23707494	37266371	0	0	0
A2058_CONTROL_C3_N1	-	A2058_CONTROL_C3_N1	ILLUMINA	38504_1	266099	591874	101	101	7126932737	3568364396	3558568341	16816813	8139878	8676935	71315646	35657823	35657823	70845122	35472796	35372326	35319847	1783594859	1828573709	3731.595	11414.022	585.000	20450401	35319847	0	0	0
A2058_CONTROL_C3_N1	-	A2058_CONTROL_C3_N1	ILLUMINA	38504_2	266099	591875	101	101	7102167089	3556096088	3546071001	16744616	8013699	8730917	71069554	35534777	35534777	70598551	35349817	35248734	35196510	1777378277	1822265391	3729.984	11404.640	584.000	20649997	35196510	0	0	0
A2058_CONTROL_C3_N2	-	A2058_CONTROL_C3_N2	ILLUMINA	38352_4	266100	589015	101	101	6590755516	3298020501	3292735015	14169495	6900727	7268768	65806444	32903222	32903222	65487014	32777808	32709206	32669344	1630698902	1688733731	4121.575	11869.217	810.000	26499944	32669344	0	0	0
A2058_CONTROL_C3_N2	-	A2058_CONTROL_C3_N2	ILLUMINA	38504_1	266100	591876	101	101	6265133521	3135668416	3129465105	14212064	6995407	7216657	62598344	31299172	31299172	62265001	31168531	31096470	31054701	1549406012	1603113464	4054.503	11791.898	789.000	23459046	31054701	0	0	0
A2058_CONTROL_C3_N2	-	A2058_CONTROL_C3_N2	ILLUMINA	38504_2	266100	591877	101	101	6231535898	3118885593	3112650305	14110505	6883856	7226649	62262294	31131147	31131147	61930542	31001380	30929162	30887504	1541296488	1594654905	4052.726	11769.864	789.000	23720867	30887504	0	0	0
A2058_CONTROL_C3_N3	-	A2058_CONTROL_C3_N3	ILLUMINA	38352_4	266101	589016	101	101	6965109840	3486603027	3478506813	16000132	7266356	8733776	69556382	34778191	34778191	69216499	34653401	34563098	34517663	1716227640	1771388195	4066.581	11841.138	768.000	26146052	34517663	0	0	0
