sample_id	filetype	library	unpaired_reads_examined	paired_reads_examined	unmapped_reads	dup_reads	dup_pairs	optical_dup_pairs	dup_percent	est_library_size
A2058_CONTROL_C2_N1	biobambam	266094	550270	99787932	1450872	469388	29136667	626319	0.293528	137506623
A2058_CONTROL_C2_N2	biobambam	266095	687766	113400564	1598888	620188	53401980	679532	0.472217	78913000
A2058_CONTROL_C2_N3	biobambam	266096	565141	108623894	2272559	508573	40600833	736368	0.37514	107228586
A2058_CONTROL_C2_N4	biobambam	266097	521633	98030154	1056613	464997	35339732	605443	0.361907	101740524
A2058_CONTROL_C2_N5	biobambam	266098	499264	101648964	1040414	445236	37409540	623376	0.36931	102474487
A2058_CONTROL_C3_N1	biobambam	266099	609644	107782728	1412438	527930	32139981	678972	0.299794	144516778
A2058_CONTROL_C3_N2	biobambam	266100	459459	94611549	984525	409321	36635268	626960	0.388438	88769495
A2058_CONTROL_C3_N3	biobambam	266101	575861	99424888	1061303	515738	36135556	590126	0.364982	101983059
A2058_CONTROL_C3_N4	biobambam	266102	561109	105985467	1042701	504679	41691283	677057	0.394704	97166697
A2058_CONTROL_C3_N5	biobambam	266103	600072	111454696	1116912	538101	41831402	715684	0.376722	109324544
A2058_CONTROL_C4_N1	biobambam	266104	570065	103779676	1220207	495374	33080595	722128	0.320265	127578835
A2058_CONTROL_C4_N2	biobambam	266105	638667	112622028	1558109	555605	37007241	845593	0.330127	133038530
A2058_CONTROL_C4_N3	biobambam	266106	550078	106441579	1031832	491622	40311231	639766	0.380044	103018575
A2058_CONTROL_C4_N5	biobambam	266107	517955	97594355	1096351	455937	34660154	585475	0.356535	103392877
A2058_SIN3B_KO_C18_N1	biobambam	266108	570478	100784909	1975194	488491	30243335	677269	0.301648	134141137
A2058_SIN3B_KO_C18_N2	biobambam	266109	464902	91846581	743930	414112	32768768	539195	0.358125	96666960
A2058_SIN3B_KO_C18_N3	biobambam	266110	571885	116405468	890993	514342	43661708	812810	0.376368	114372746
A2058_SIN3B_KO_C18_N4	biobambam	266111	569443	112058642	986701	513446	43562019	691789	0.390043	104482877
A2058_SIN3B_KO_C18_N5	biobambam	266112	604870	114481857	1029466	544770	44074091	763251	0.386346	108316851
A2058_SIN3B_KO_C20_N1	biobambam	266113	711177	101843983	1563087	611574	29291983	609322	0.289608	143015590
A2058_SIN3B_KO_C20_N2	biobambam	266114	582385	104590248	1057349	524986	50676180	638142	0.485679	69473291
A2058_SIN3B_KO_C20_N3	biobambam	266115	469877	89306108	824311	415852	34462741	564959	0.387204	84173503
A2058_SIN3B_KO_C20_N4	biobambam	266116	535224	104552302	950630	477676	41112815	645525	0.394502	95876971
A2058_SIN3B_KO_C20_N5	biobambam	266117	501343	98504060	878381	445458	37664770	653144	0.383652	94114345
A2058_SIN3B_KO_C21_N1	biobambam	266118	408100	73603964	1256266	336426	18834975	443834	0.257468	119942148
A2058_SIN3B_KO_C21_N2	biobambam	266119	480706	90830308	979524	429185	34109478	555768	0.376895	88987254
A2058_SIN3B_KO_C21_N3	biobambam	266120	779218	142327078	1323432	711727	62104697	995707	0.437654	111810366
A2058_SIN3B_KO_C21_N4	biobambam	266121	784229	103501311	1202689	703410	39345743	596216	0.382098	99601577
A2058_SIN3B_KO_C21_N5	biobambam	266122	545442	100762518	1085280	486608	39224814	630247	0.390637	93772930
A375_CONTROL_C1_N1	biobambam	266034	725645	90565328	2934819	616343	25441000	598303	0.283182	131286764
A375_CONTROL_C1_N2	biobambam	266035	539616	101410546	923766	479180	38233307	671265	0.378371	98863618
A375_CONTROL_C1_N3	biobambam	266036	583337	109954511	1079751	518801	40802572	767399	0.372457	109690235
A375_CONTROL_C1_N4	biobambam	266037	636875	115296868	1232521	569217	44795147	755083	0.389912	107643221
A375_CONTROL_C1_N5	biobambam	266038	545359	107182642	952833	484539	41141763	621504	0.385128	101728293
A375_CONTROL_C2_N1	biobambam	266039	499481	83549695	2427571	416205	23281748	495121	0.28031	122183426
A375_CONTROL_C2_N2	biobambam	266040	644167	114196588	1501203	576230	42534873	678186	0.373939	113157409
A375_CONTROL_C2_N3	biobambam	266041	770262	91007105	1449226	677116	31217753	529999	0.345284	101111529
