sample	summary	reads_total	reads_map_percent	reads_dup_percent	reads_insertsize	bases_total	bases_map_percent	bases_divergent_percent	bases_gc_percent	bases_map_ratio
A2058_CONTROL_C2_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C2_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C3_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_CONTROL_C4_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C18_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N1_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N1_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C20_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N1_38504_1	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N1_38504_2	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N2_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N2_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N2_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N3_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N3_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N3_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N4_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N4_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N4_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N5_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N5_38504_1	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A2058_SIN3B_KO_C21_N5_38504_2	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
A375_CONTROL_C1_N1_38352_4	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
