sample	insert_mean	insert_sd	reads	mapped_pairs	proper_pairing	duplication	rmap_r1	rmap_r2	bmap_r1	bmap_r2	bdiv_r1	bdiv_r2	failed_r1	failed_r2	gc_r1	gc_r2
A2058_CONTROL_C2_N1	3642.1260	11201.8660	201577006	0.9901	0.9901	0.2914	0.9940	0.9916	0.9900	0.9877	0.0023	0.0024	0	0	0.4981	0.5114
A2058_CONTROL_C2_N2	3492.4463	10671.6560	229087782	0.9900	0.9900	0.4689	0.9937	0.9923	0.9888	0.9881	0.0022	0.0020	0	0	0.4945	0.5088
A2058_CONTROL_C2_N3	4229.4487	11985.8420	220085488	0.9871	0.9871	0.3713	0.9909	0.9884	0.9871	0.9849	0.0021	0.0024	0	0	0.4890	0.5067
A2058_CONTROL_C2_N4	3971.8257	11648.0205	197638554	0.9920	0.9920	0.3600	0.9956	0.9937	0.9915	0.9902	0.0022	0.0021	0	0	0.4907	0.5082
A2058_CONTROL_C2_N5	4067.2017	11790.7390	204837606	0.9925	0.9925	0.3674	0.9959	0.9939	0.9920	0.9907	0.0023	0.0021	0	0	0.4860	0.5018
A2058_CONTROL_C3_N1	3755.6936	11443.0620	217587538	0.9907	0.9907	0.2978	0.9949	0.9921	0.9909	0.9883	0.0022	0.0024	0	0	0.4956	0.5082
A2058_CONTROL_C3_N2	4077.0828	11811.4810	190667082	0.9924	0.9924	0.3864	0.9960	0.9937	0.9921	0.9903	0.0022	0.0023	0	0	0.4903	0.5075
A2058_CONTROL_C3_N3	4016.3650	11751.0625	200486940	0.9918	0.9918	0.3631	0.9962	0.9932	0.9923	0.9894	0.0022	0.0026	0	0	0.4881	0.5035
A2058_CONTROL_C3_N4	4114.0020	11960.3810	213574744	0.9925	0.9925	0.3928	0.9964	0.9938	0.9926	0.9902	0.0022	0.0023	0	0	0.4885	0.5048
A2058_CONTROL_C3_N5	3994.1660	11830.2870	224626376	0.9924	0.9924	0.3748	0.9962	0.9938	0.9923	0.9903	0.0022	0.0022	0	0	0.4900	0.5061
A2058_CONTROL_C4_N1	3759.7160	11413.8200	209349624	0.9914	0.9914	0.3184	0.9954	0.9929	0.9914	0.9892	0.0022	0.0024	0	0	0.4955	0.5089
A2058_CONTROL_C4_N2	3660.1453	11234.4060	227440832	0.9903	0.9903	0.3279	0.9943	0.9920	0.9902	0.9881	0.0022	0.0022	0	0	0.4963	0.5095
A2058_CONTROL_C4_N3	3929.2869	11621.9640	214465068	0.9926	0.9926	0.3782	0.9962	0.9942	0.9922	0.9906	0.0022	0.0022	0	0	0.4916	0.5077
