id	count	tpm	fpkm
ENSG00000000003	4432	37.161127	13.359242
ENSG00000000005	0	0.000000	0.000000
ENSG00000000419	6351	174.110603	62.591904
ENSG00000000457	1361	6.867233	2.468736
ENSG00000000460	3098	22.641676	8.139571
ENSG00000000938	2	0.024140	0.008678
ENSG00000000971	71	0.323525	0.116305
ENSG00000001036	19160	255.695124	91.921138
ENSG00000001084	3901	32.803893	11.792838
ENSG00000001167	3937	32.880756	11.820470
ENSG00000001460	1394	7.375140	2.651327
ENSG00000001461	17897	103.928764	37.361879
ENSG00000001497	3925	16.502856	5.932695
ENSG00000001561	0	0.000000	0.000000
ENSG00000001617	180	1.588333	0.570998
ENSG00000001626	1	0.005244	0.001885
ENSG00000001629	11318	56.819284	20.426253
ENSG00000001630	574	5.790657	2.081713
ENSG00000001631	414	2.767109	0.994762
ENSG00000002016	566	5.959278	2.142331
ENSG00000002079	7	0.038177	0.013724
ENSG00000002330	3387	93.174520	33.495781
ENSG00000002549	8318	119.850135	43.085533
ENSG00000002586	21640	538.941626	193.746860
ENSG00000002587	1209	5.374383	1.932064
ENSG00000002726	0	0.000000	0.000000
ENSG00000002745	0	0.000000	0.000000
ENSG00000002746	0	0.000000	0.000000
ENSG00000002822	259	2.756124	0.990813
ENSG00000002834	26223	207.466351	74.583131
ENSG00000002919	3923	41.732273	15.002547
ENSG00000002933	0	0.000000	0.000000
ENSG00000003056	24045	312.373384	112.296693
ENSG00000003096	2130	12.717046	4.571715
ENSG00000003137	2	0.013972	0.005023
ENSG00000003147	724	9.444176	3.395135
ENSG00000003249	6472	71.302752	25.632988
ENSG00000003393	3459	11.900829	4.278289
ENSG00000003400	42	0.229927	0.082658
ENSG00000003402	1623	3.535283	1.270917
ENSG00000003436	2640	10.926798	3.928130
ENSG00000003509	1530	16.374415	5.886522
ENSG00000003756	3918	22.205096	7.982623
ENSG00000003987	3	0.018686	0.006718
ENSG00000003989	14799	61.669161	22.169760
ENSG00000004059	7228	152.455898	54.807144
ENSG00000004139	2461	7.621853	2.740019
ENSG00000004142	20518	244.590221	87.928980
ENSG00000004399	5128	23.610043	8.487694
ENSG00000004455	23778	126.769949	45.573172
ENSG00000004468	52	0.294498	0.105871
ENSG00000004478	18216	156.066440	56.105117
ENSG00000004487	14045	144.904509	52.092457
ENSG00000004534	2592	19.079397	6.858949
ENSG00000004660	368	3.004840	1.080225
ENSG00000004700	10001	84.997652	30.556237
ENSG00000004766	3425	19.004951	6.832186
ENSG00000004776	46	1.002814	0.360507
ENSG00000004777	356	2.685689	0.965492
ENSG00000004779	7344	264.122089	94.950590
ENSG00000004799	59404	525.058742	188.756032
ENSG00000004809	1	0.015656	0.005628
ENSG00000004838	84	1.507096	0.541794
ENSG00000004846	16	0.087636	0.031505
ENSG00000004848	14	0.154026	0.055372
ENSG00000004864	16478	164.307331	59.067676
ENSG00000004866	3218	35.330774	12.701239
ENSG00000004897	22461	122.624107	44.082763
ENSG00000004939	0	0.000000	0.000000
ENSG00000004948	1	0.008312	0.002988
ENSG00000004961	3978	54.763636	19.687257
ENSG00000004975	7939	84.538631	30.391222
ENSG00000005001	8	0.184112	0.066188
ENSG00000005007	9701	58.028129	20.860827
ENSG00000005020	9082	75.297180	27.068965
ENSG00000005022	60738	1479.109156	531.732456
ENSG00000005059	1219	17.398595	6.254709
ENSG00000005073	1105	13.177379	4.737203
ENSG00000005075	4647	158.698231	57.051232
ENSG00000005100	11891	68.377951	24.581536
ENSG00000005102	26	0.309476	0.111255
ENSG00000005108	25	0.074680	0.026847
ENSG00000005156	3044	11.558789	4.155328
ENSG00000005175	3487	25.578650	9.195399
ENSG00000005187	32	0.307614	0.110586
ENSG00000005189	824	9.746055	3.503659
ENSG00000005194	9952	156.732615	56.344603
ENSG00000005206	1038	8.950940	3.217819
ENSG00000005238	1563	8.620317	3.098961
ENSG00000005243	2150	74.869958	26.915381
ENSG00000005249	7876	67.953586	24.428979
ENSG00000005302	1841	8.954180	3.218984
ENSG00000005339	3330	9.822864	3.531271
ENSG00000005379	0	0.000000	0.000000
ENSG00000005381	0	0.000000	0.000000
ENSG00000005421	30	0.399019	0.143445
ENSG00000005436	2337	17.032988	6.123275
ENSG00000005448	2098	28.342981	10.189162
ENSG00000005469	789	7.835456	2.816808
ENSG00000005471	1	0.007414	0.002665
ENSG00000005483	4728	19.337555	6.951756
ENSG00000005486	4189	70.995382	25.522490
ENSG00000005513	1901	14.569194	5.237553
ENSG00000005700	11023	58.086899	20.881954
ENSG00000005801	1408	4.507135	1.620293
ENSG00000005810	2816	5.944742	2.137106
ENSG00000005812	4892	44.410929	15.965510
ENSG00000005844	0	0.000000	0.000000
ENSG00000005882	2249	21.278881	7.649653
ENSG00000005884	17762	103.182463	37.093587
ENSG00000005889	3338	13.957347	5.017598
ENSG00000005893	38431	187.176542	67.289045
ENSG00000005961	23	0.210421	0.075645
ENSG00000005981	708	5.955215	2.140871
ENSG00000006007	10089	110.463402	39.711049
ENSG00000006015	1811	23.383895	8.406395
ENSG00000006016	52	0.950648	0.341753
ENSG00000006025	379	2.682450	0.964328
ENSG00000006042	1	0.007546	0.002713
ENSG00000006047	212	1.482018	0.532778
ENSG00000006059	0	0.000000	0.000000
ENSG00000006062	269	1.868176	0.671600
ENSG00000006071	1	0.004848	0.001743
ENSG00000006116	0	0.000000	0.000000
ENSG00000006118	4826	38.584286	13.870861
ENSG00000006125	12092	67.497277	24.264939
ENSG00000006128	0	0.000000	0.000000
ENSG00000006194	1973	19.133915	6.878548
ENSG00000006210	1086	5.963714	2.143926
ENSG00000006282	3896	35.039162	12.596406
ENSG00000006283	37	0.136904	0.049216
ENSG00000006327	4433	84.085498	30.228322
ENSG00000006377	635	8.787417	3.159033
ENSG00000006432	130	0.359456	0.129223
ENSG00000006451	7125	81.369796	29.252041
ENSG00000006453	4372	38.176661	13.724322
ENSG00000006459	1080	3.728277	1.340297
ENSG00000006468	8624	42.497051	15.277480
ENSG00000006530	5436	44.661690	16.055658
ENSG00000006534	1599	8.649502	3.109454
ENSG00000006555	0	0.000000	0.000000
ENSG00000006576	3518	21.541448	7.744044
ENSG00000006606	0	0.000000	0.000000
ENSG00000006607	11394	59.794431	21.495803
ENSG00000006611	16	0.157129	0.056487
ENSG00000006625	1534	42.163060	15.157413
ENSG00000006634	6595	57.430519	20.645989
ENSG00000006638	583	7.023459	2.524899
ENSG00000006652	781	6.810414	2.448310
ENSG00000006659	0	0.000000	0.000000
ENSG00000006695	3204	20.610007	7.409196
ENSG00000006704	2563	13.901889	4.997661
ENSG00000006712	4489	64.944481	23.347221
ENSG00000006715	5804	31.556586	11.344437
ENSG00000006740	20	0.143760	0.051681
ENSG00000006744	15166	128.141781	46.066339
ENSG00000006747	5	0.016437	0.005909
ENSG00000006756	1524	9.427899	3.389283
ENSG00000006757	1010	9.619007	3.457986
ENSG00000006788	5	0.026231	0.009430
ENSG00000006831	16935	135.737748	48.797052
ENSG00000006837	39	0.558645	0.200830
ENSG00000007001	11	0.143783	0.051689
ENSG00000007038	0	0.000000	0.000000
ENSG00000007047	3284	20.066153	7.213683
ENSG00000007062	54	0.395202	0.142073
ENSG00000007080	6184	186.565934	67.069534
ENSG00000007129	0	0.000000	0.000000
ENSG00000007168	23749	93.412454	33.581317
ENSG00000007171	22	0.166483	0.059850
ENSG00000007174	915	2.124062	0.763590
ENSG00000007202	36451	156.189875	56.149491
ENSG00000007216	0	0.000000	0.000000
ENSG00000007237	27612	106.282118	38.207898
ENSG00000007255	531	20.994908	7.547566
ENSG00000007264	0	0.000000	0.000000
ENSG00000007306	0	0.000000	0.000000
ENSG00000007312	7	0.177671	0.063872
ENSG00000007314	0	0.000000	0.000000
ENSG00000007341	1162	8.249977	2.965826
ENSG00000007350	6	0.074423	0.026755
ENSG00000007372	0	0.000000	0.000000
ENSG00000007376	3609	53.204647	19.126809
ENSG00000007384	2099	22.328841	8.027108
ENSG00000007392	2537	29.502648	10.606057
ENSG00000007402	4	0.022351	0.008035
ENSG00000007516	186	1.251076	0.449755
ENSG00000007520	4649	122.289594	43.962507
ENSG00000007541	3349	36.035645	12.954637
ENSG00000007545	799	3.190030	1.146800
ENSG00000007866	1139	12.140854	4.364577
ENSG00000007908	0	0.000000	0.000000
ENSG00000007923	5940	59.063081	21.232887
ENSG00000007933	0	0.000000	0.000000
ENSG00000007944	3522	36.490807	13.118265
ENSG00000007952	0	0.000000	0.000000
ENSG00000007968	1398	8.563540	3.078551
ENSG00000008018	17660	289.886650	104.212823
ENSG00000008056	11	0.109069	0.039210
ENSG00000008083	6414	34.007596	12.225563
ENSG00000008086	315	0.682270	0.245273
ENSG00000008118	14	0.144253	0.051858
ENSG00000008128	41	0.437321	0.157215
ENSG00000008130	7385	64.345200	23.131782
ENSG00000008196	0	0.000000	0.000000
ENSG00000008197	0	0.000000	0.000000
ENSG00000008226	18	0.083043	0.029853
ENSG00000008256	5009	35.365716	12.713801
ENSG00000008277	64	0.218237	0.078455
ENSG00000008282	18038	269.540547	96.898499
ENSG00000008283	6433	63.985107	23.002331
ENSG00000008294	9460	36.381951	13.079132
ENSG00000008300	552	1.472329	0.529295
ENSG00000008311	1747	6.500384	2.336856
ENSG00000008323	0	0.000000	0.000000
ENSG00000008324	1499	17.690333	6.359588
ENSG00000008382	1457	28.732363	10.329143
ENSG00000008394	11979	177.171403	63.692247
ENSG00000008405	1359	11.281911	4.055791
ENSG00000008438	0	0.000000	0.000000
ENSG00000008441	8003	42.319819	15.213766
ENSG00000008513	2434	11.145219	4.006651
ENSG00000008516	19	0.137036	0.049264
ENSG00000008517	32	0.737516	0.265133
ENSG00000008710	3391	7.632973	2.744016
ENSG00000008735	2817	15.729949	5.654839
ENSG00000008838	6565	53.632879	19.280756
ENSG00000008853	3191	18.526915	6.660335
ENSG00000008869	3192	14.645578	5.265013
ENSG00000008952	11771	57.409216	20.638330
ENSG00000008988	68084	459.988829	165.363718
ENSG00000009307	52004	383.860410	137.995927
ENSG00000009335	22655	138.295601	49.716587
ENSG00000009413	5678	16.483206	5.925631
ENSG00000009694	5	0.012345	0.004438
ENSG00000009709	1	0.005123	0.001842
ENSG00000009724	4	0.051859	0.018643
ENSG00000009765	0	0.000000	0.000000
ENSG00000009780	664	5.905025	2.122827
ENSG00000009790	1	0.009639	0.003465
ENSG00000009830	3780	21.305383	7.659180
ENSG00000009844	13551	61.694631	22.178916
ENSG00000009950	12	0.117448	0.042222
ENSG00000009954	14760	76.825469	27.618378
ENSG00000010017	7763	73.015415	26.248682
ENSG00000010030	4	0.071686	0.025771
ENSG00000010072	2718	24.307304	8.738356
ENSG00000010165	9779	92.413983	33.222372
ENSG00000010219	689	6.702260	2.409429
ENSG00000010244	10845	25.122228	9.031317
ENSG00000010256	30049	599.631808	215.564681
ENSG00000010270	6031	52.547854	18.890695
ENSG00000010278	2366	22.513030	8.093323
ENSG00000010282	0	0.000000	0.000000
ENSG00000010292	24358	160.679190	57.763377
ENSG00000010295	1437	15.240742	5.478972
ENSG00000010310	50	0.467515	0.168069
ENSG00000010318	616	9.217827	3.313763
ENSG00000010319	136	0.866947	0.311663
ENSG00000010322	2138	12.719477	4.572589
ENSG00000010327	13	0.052191	0.018762
ENSG00000010361	4537	83.568069	30.042309
ENSG00000010379	6	0.087281	0.031377
ENSG00000010404	254	1.066547	0.383418
ENSG00000010438	0	0.000000	0.000000
ENSG00000010539	1738	12.840721	4.616176
ENSG00000010610	2	0.020878	0.007506
ENSG00000010626	240	4.498719	1.617267
ENSG00000010671	5	0.057514	0.020676
ENSG00000010704	4727	29.067432	10.449599
ENSG00000010803	2484	23.792308	8.553218
ENSG00000010810	9022	79.149991	28.454032
ENSG00000010818	1811	5.745744	2.065567
ENSG00000010932	1	0.010169	0.003656
ENSG00000011007	10076	62.224164	22.369280
ENSG00000011009	9060	176.370427	63.404300
ENSG00000011021	1516	8.568977	3.080505
ENSG00000011028	6035	33.587100	12.074397
ENSG00000011052	0	0.000000	0.000000
ENSG00000011083	0	0.000000	0.000000
ENSG00000011105	1352	9.956513	3.579317
ENSG00000011114	3199	12.056740	4.334339
ENSG00000011132	1411	10.567041	3.798799
ENSG00000011143	1909	14.736960	5.297865
ENSG00000011198	2889	17.356051	6.239415
ENSG00000011201	1	0.005080	0.001826
ENSG00000011243	4327	28.320307	10.181011
ENSG00000011258	2261	13.413625	4.822132
ENSG00000011260	8874	150.557334	54.124620
ENSG00000011275	9605	52.918841	19.024063
ENSG00000011295	5839	60.437805	21.727093
ENSG00000011304	42373	289.351299	104.020367
ENSG00000011332	504	6.808800	2.447730
ENSG00000011347	18	0.079241	0.028487
ENSG00000011376	5364	16.989525	6.107651
ENSG00000011405	6576	25.441085	9.145945
ENSG00000011422	2111	41.732815	15.002742
ENSG00000011426	25753	173.256767	62.284954
ENSG00000011451	6392	22.637963	8.138236
ENSG00000011454	5685	36.290548	13.046273
ENSG00000011465	226	1.050106	0.377508
ENSG00000011478	1908	22.467133	8.076824
ENSG00000011485	8942	60.879121	21.885744
ENSG00000011523	2116	11.605889	4.172260
ENSG00000011566	3061	22.474475	8.079463
ENSG00000011590	0	0.000000	0.000000
ENSG00000011600	0	0.000000	0.000000
ENSG00000011638	2046	35.938733	12.919797
ENSG00000011677	1589	13.784516	4.955465
ENSG00000012048	5130	22.459407	8.074046
ENSG00000012061	6241	58.787003	21.133638
ENSG00000012124	204	1.983201	0.712951
