id	count	tpm	fpkm
ENSG00000000003	4659	40.458308	15.053518
ENSG00000000005	0	0.000000	0.000000
ENSG00000000419	12021	341.310448	126.993026
ENSG00000000457	2256	11.789316	4.386508
ENSG00000000460	3811	28.846425	10.733029
ENSG00000000938	1	0.012501	0.004651
ENSG00000000971	18	0.084947	0.031607
ENSG00000001036	14024	193.831664	72.119883
ENSG00000001084	3426	29.837517	11.101789
ENSG00000001167	4291	37.115966	13.809917
ENSG00000001460	837	4.586262	1.706433
ENSG00000001461	10540	63.390184	23.585892
ENSG00000001497	4638	20.196498	7.514608
ENSG00000001561	0	0.000000	0.000000
ENSG00000001617	290	2.650288	0.986105
ENSG00000001626	0	0.000000	0.000000
ENSG00000001629	6104	31.737044	11.808555
ENSG00000001630	565	5.903238	2.196446
ENSG00000001631	561	3.883423	1.444924
ENSG00000002016	702	7.654911	2.848200
ENSG00000002079	0	0.000000	0.000000
ENSG00000002330	2554	72.766040	27.074412
ENSG00000002549	2585	38.575009	14.352790
ENSG00000002586	20760	535.473152	199.236080
ENSG00000002587	156	0.718212	0.267229
ENSG00000002726	0	0.000000	0.000000
ENSG00000002745	0	0.000000	0.000000
ENSG00000002746	0	0.000000	0.000000
ENSG00000002822	192	2.116050	0.787329
ENSG00000002834	11376	93.213917	34.682552
ENSG00000002919	6025	66.379911	24.698294
ENSG00000002933	0	0.000000	0.000000
ENSG00000003056	23149	311.463641	115.887780
ENSG00000003096	16	0.098936	0.036811
ENSG00000003137	2	0.014471	0.005384
ENSG00000003147	356	4.809516	1.789500
ENSG00000003249	798	9.105348	3.387871
ENSG00000003393	2615	9.318032	3.467005
ENSG00000003400	161	0.912835	0.339643
ENSG00000003402	1544	3.483203	1.296012
ENSG00000003436	5142	22.041794	8.201197
ENSG00000003509	754	8.357408	3.109581
ENSG00000003756	1901	11.158253	4.151705
ENSG00000003987	1	0.006451	0.002400
ENSG00000003989	11613	50.119413	18.648172
ENSG00000004059	7517	164.208833	61.097973
ENSG00000004139	77	0.246982	0.091896
ENSG00000004142	9531	117.670721	43.782313
ENSG00000004399	1021	4.868558	1.811468
ENSG00000004455	24688	136.317867	50.720447
ENSG00000004468	49	0.287409	0.106938
ENSG00000004478	7903	70.125241	26.091837
ENSG00000004487	4808	51.374842	19.115285
ENSG00000004534	704	5.366958	1.996910
ENSG00000004660	70	0.591967	0.220256
ENSG00000004700	8757	77.080537	28.679728
ENSG00000004766	4237	24.349527	9.059846
ENSG00000004776	10	0.225781	0.084008
ENSG00000004777	398	3.109673	1.157031
ENSG00000004779	9805	365.212415	135.886346
ENSG00000004799	88208	807.469373	300.439028
ENSG00000004809	2	0.032429	0.012066
ENSG00000004838	3	0.055745	0.020741
ENSG00000004846	0	0.000000	0.000000
ENSG00000004848	3	0.034183	0.012719
ENSG00000004864	8744	90.300150	33.598413
ENSG00000004866	1510	17.169986	6.388520
ENSG00000004897	19171	108.397039	40.331809
ENSG00000004939	0	0.000000	0.000000
ENSG00000004948	5	0.043045	0.016016
ENSG00000004961	8368	119.309506	44.392064
ENSG00000004975	10608	116.990016	43.529040
ENSG00000005001	79	1.882982	0.700610
ENSG00000005007	6864	42.523130	15.821786
ENSG00000005020	10595	90.975417	33.849663
ENSG00000005022	54541	1375.589062	511.822063
ENSG00000005059	86	1.271261	0.473004
ENSG00000005073	2089	25.800675	9.599782
ENSG00000005075	5113	180.842743	67.287032
ENSG00000005100	10276	61.199472	22.770783
ENSG00000005102	0	0.000000	0.000000
ENSG00000005108	5	0.015469	0.005756
ENSG00000005156	3789	14.901094	5.544322
ENSG00000005175	2057	15.627368	5.814550
ENSG00000005187	0	0.000000	0.000000
ENSG00000005189	518	6.345375	2.360954
ENSG00000005194	8036	131.073477	48.769141
ENSG00000005206	779	6.957202	2.588600
ENSG00000005238	1079	6.163275	2.293200
ENSG00000005243	3066	110.577600	41.143141
ENSG00000005249	2597	23.206225	8.634452
ENSG00000005302	1001	5.042338	1.876127
ENSG00000005339	1258	3.843266	1.429982
ENSG00000005379	0	0.000000	0.000000
ENSG00000005381	0	0.000000	0.000000
ENSG00000005421	58	0.798963	0.297274
ENSG00000005436	1973	14.893100	5.541348
ENSG00000005448	732	10.241817	3.810722
ENSG00000005469	134	1.378218	0.512800
ENSG00000005471	0	0.000000	0.000000
ENSG00000005483	2340	9.912104	3.688044
ENSG00000005486	4579	80.374126	29.905189
ENSG00000005513	2665	21.153220	7.870581
ENSG00000005700	10086	55.045679	20.481111
ENSG00000005801	784	2.599201	0.967097
ENSG00000005810	1770	3.869898	1.439892
ENSG00000005812	13517	127.089481	47.286797
ENSG00000005844	4	0.017525	0.006521
ENSG00000005882	528	5.173913	1.925083
ENSG00000005884	17307	104.126603	38.742888
ENSG00000005889	3681	15.940731	5.931145
ENSG00000005893	44465	224.292065	83.453431
ENSG00000005961	46	0.435858	0.162172
ENSG00000005981	1341	11.682044	4.346595
ENSG00000006007	9857	111.774035	41.588305
ENSG00000006015	1479	19.778459	7.359067
ENSG00000006016	62	1.173908	0.436782
ENSG00000006025	41	0.300540	0.111823
ENSG00000006042	0	0.000000	0.000000
ENSG00000006047	117	0.847090	0.315181
ENSG00000006059	0	0.000000	0.000000
ENSG00000006062	993	7.142341	2.657485
ENSG00000006071	0	0.000000	0.000000
ENSG00000006116	0	0.000000	0.000000
ENSG00000006118	1814	15.020566	5.588775
ENSG00000006125	9542	55.163702	20.525025
ENSG00000006128	0	0.000000	0.000000
ENSG00000006194	2288	22.980456	8.550449
ENSG00000006210	227	1.291037	0.480362
ENSG00000006282	2257	21.022880	7.822084
ENSG00000006283	0	0.000000	0.000000
ENSG00000006327	83258	1635.592923	608.562955
ENSG00000006377	115	1.648205	0.613256
ENSG00000006432	6	0.017182	0.006393
ENSG00000006451	8118	96.018139	35.725932
ENSG00000006453	1428	12.914330	4.805097
ENSG00000006459	4880	17.447375	6.491729
ENSG00000006468	4793	24.461515	9.101514
ENSG00000006530	5869	49.939673	18.581295
ENSG00000006534	627	3.512660	1.306972
ENSG00000006555	0	0.000000	0.000000
ENSG00000006576	2571	16.304482	6.066487
ENSG00000006606	2	0.093781	0.034894
ENSG00000006607	4134	22.468851	8.360094
ENSG00000006611	0	0.000000	0.000000
ENSG00000006625	1031	29.348865	10.919974
ENSG00000006634	5248	47.331215	17.610754
ENSG00000006638	542	6.762506	2.516158
ENSG00000006652	1766	15.949205	5.934298
ENSG00000006659	0	0.000000	0.000000
ENSG00000006695	6456	43.010554	16.003144
ENSG00000006704	3855	21.655862	8.057601
ENSG00000006712	4696	70.363367	26.180438
ENSG00000006715	4482	25.238314	9.390541
ENSG00000006740	8	0.059556	0.022159
ENSG00000006744	7305	63.924274	23.784613
ENSG00000006747	0	0.000000	0.000000
ENSG00000006756	584	3.741697	1.392191
ENSG00000006757	1710	16.866729	6.275685
ENSG00000006788	1	0.005433	0.002022
ENSG00000006831	11267	93.529715	34.800053
ENSG00000006837	67	0.993967	0.369830
ENSG00000007001	4	0.054150	0.020148
ENSG00000007038	0	0.000000	0.000000
ENSG00000007047	1768	11.188429	4.162933
ENSG00000007062	0	0.000000	0.000000
ENSG00000007080	4925	153.884536	57.256562
ENSG00000007129	0	0.000000	0.000000
ENSG00000007168	35931	146.370864	54.460914
ENSG00000007171	0	0.000000	0.000000
ENSG00000007174	183	0.439970	0.163702
ENSG00000007202	4173	18.519007	6.890456
ENSG00000007216	0	0.000000	0.000000
ENSG00000007237	3853	15.359859	5.715017
ENSG00000007255	1050	42.996650	15.997971
ENSG00000007264	2	0.031424	0.011692
ENSG00000007306	0	0.000000	0.000000
ENSG00000007312	0	0.000000	0.000000
ENSG00000007314	0	0.000000	0.000000
ENSG00000007341	2520	18.529897	6.894508
ENSG00000007350	4	0.051386	0.019119
ENSG00000007372	0	0.000000	0.000000
ENSG00000007376	952	14.535351	5.408238
ENSG00000007384	1333	14.686211	5.464369
ENSG00000007392	3292	39.648452	14.752191
ENSG00000007402	0	0.000000	0.000000
ENSG00000007516	50	0.348310	0.129598
ENSG00000007520	1734	47.239460	17.576614
ENSG00000007541	1678	18.699715	6.957693
ENSG00000007545	787	3.254233	1.210818
ENSG00000007866	1177	12.993551	4.834573
ENSG00000007908	0	0.000000	0.000000
ENSG00000007923	5822	59.955321	22.307866
ENSG00000007933	0	0.000000	0.000000
ENSG00000007944	1312	14.078417	5.238225
ENSG00000007952	0	0.000000	0.000000
ENSG00000007968	1151	7.302093	2.716925
ENSG00000008018	28636	486.828225	181.136528
ENSG00000008056	3	0.030808	0.011463
ENSG00000008083	2333	12.811135	4.766701
ENSG00000008086	258	0.578750	0.215338
ENSG00000008118	0	0.000000	0.000000
ENSG00000008128	30	0.331408	0.123309
ENSG00000008130	6497	58.627908	21.813969
ENSG00000008196	0	0.000000	0.000000
