id	count	tpm	fpkm
ENSG00000000003	5167	34.389472	12.155101
ENSG00000000005	0	0.000000	0.000000
ENSG00000000419	8447	183.816091	64.970557
ENSG00000000457	1103	4.417709	1.561457
ENSG00000000460	3753	21.772267	7.695498
ENSG00000000938	4	0.038323	0.013546
ENSG00000000971	0	0.000000	0.000000
ENSG00000001036	10404	110.211068	38.954558
ENSG00000001084	3874	25.858718	9.139871
ENSG00000001167	4831	32.026637	11.319947
ENSG00000001460	2616	10.986090	3.883079
ENSG00000001461	24767	114.163389	40.351522
ENSG00000001497	5841	19.494162	6.890292
ENSG00000001561	68	0.369939	0.130756
ENSG00000001617	15	0.105065	0.037136
ENSG00000001626	0	0.000000	0.000000
ENSG00000001629	8485	33.812388	11.951128
ENSG00000001630	787	6.302148	2.227520
ENSG00000001631	359	1.904664	0.673211
ENSG00000002016	534	4.462892	1.577428
ENSG00000002079	0	0.000000	0.000000
ENSG00000002330	2087	45.572446	16.107769
ENSG00000002549	9071	103.746321	36.669566
ENSG00000002586	50111	990.639106	350.145486
ENSG00000002587	393	1.386733	0.490146
ENSG00000002726	1	0.008059	0.002848
ENSG00000002745	1	0.008021	0.002835
ENSG00000002746	5	0.013363	0.004723
ENSG00000002822	1340	11.318833	4.000688
ENSG00000002834	20941	131.510563	46.482952
ENSG00000002919	3041	25.678407	9.076139
ENSG00000002933	0	0.000000	0.000000
ENSG00000003056	21224	218.864037	77.358398
ENSG00000003096	1317	6.241520	2.206091
ENSG00000003137	18	0.099816	0.035281
ENSG00000003147	377	3.903595	1.379742
ENSG00000003249	4522	39.545427	13.977495
ENSG00000003393	5529	15.099799	5.337086
ENSG00000003400	225	0.977734	0.345584
ENSG00000003402	2489	4.303566	1.521113
ENSG00000003436	3	0.009856	0.003484
ENSG00000003509	1877	15.945442	5.635982
ENSG00000003756	3630	16.330248	5.771994
ENSG00000003987	2	0.009888	0.003495
ENSG00000003989	5886	19.469458	6.881560
ENSG00000004059	4846	81.134847	28.677447
ENSG00000004139	3127	7.687317	2.717114
ENSG00000004142	14556	137.734913	48.682974
ENSG00000004399	1728	6.315248	2.232151
ENSG00000004455	44307	187.504315	66.274175
ENSG00000004468	3	0.013486	0.004767
ENSG00000004478	15726	106.948009	37.801216
ENSG00000004487	37341	305.804610	108.087903
ENSG00000004534	2691	15.723212	5.557434
ENSG00000004660	432	2.799982	0.989665
ENSG00000004700	11581	78.128141	27.614714
ENSG00000004766	3100	13.654186	4.826128
ENSG00000004776	31	0.536441	0.189607
ENSG00000004777	250	1.497076	0.529148
ENSG00000004779	9307	265.692745	93.910199
ENSG00000004799	40	0.280640	0.099193
ENSG00000004809	0	0.000000	0.000000
ENSG00000004838	232	3.304058	1.167833
ENSG00000004846	3290	14.304025	5.055817
ENSG00000004848	0	0.000000	0.000000
ENSG00000004864	14282	113.041887	39.955122
ENSG00000004866	5754	50.145838	17.724254
ENSG00000004897	19967	86.528169	30.583739
ENSG00000004939	2	0.010200	0.003605
ENSG00000004948	12	0.079179	0.027986
ENSG00000004961	4298	46.966893	16.600643
ENSG00000004975	10826	91.507220	32.343605
ENSG00000005001	0	0.000000	0.000000
ENSG00000005007	17415	82.688187	29.226482
ENSG00000005020	10743	70.700212	24.989282
ENSG00000005022	103202	1994.921351	705.113195
ENSG00000005059	1978	22.409630	7.920776
ENSG00000005073	19	0.179853	0.063570
ENSG00000005075	3265	88.507592	31.283374
ENSG00000005100	14737	67.267411	23.775944
ENSG00000005102	0	0.000000	0.000000
ENSG00000005108	8	0.018969	0.006705
ENSG00000005156	5762	17.367562	6.138636
ENSG00000005175	3828	22.289254	7.878229
ENSG00000005187	221	1.686345	0.596045
ENSG00000005189	669	6.280955	2.220029
ENSG00000005194	5825	72.818691	25.738067
ENSG00000005206	1484	10.157881	3.590345
ENSG00000005238	7582	33.192958	11.732188
ENSG00000005243	1705	47.129349	16.658063
ENSG00000005249	2173	14.882104	5.260141
ENSG00000005302	2327	8.983930	3.175407
ENSG00000005339	4959	11.611436	4.104110
ENSG00000005379	0	0.000000	0.000000
ENSG00000005381	1	0.007856	0.002777
ENSG00000005421	0	0.000000	0.000000
ENSG00000005436	3882	22.458751	7.938138
ENSG00000005448	4170	44.717140	15.805458
ENSG00000005469	1706	13.448203	4.753323
ENSG00000005471	2	0.011770	0.004160
ENSG00000005483	4781	15.521753	5.486228
ENSG00000005486	3189	42.901471	15.163702
ENSG00000005513	168	1.022023	0.361238
ENSG00000005700	8800	36.809421	13.010442
ENSG00000005801	1263	3.209218	1.134311
ENSG00000005810	3315	5.554972	1.963428
ENSG00000005812	4114	29.645967	10.478490
ENSG00000005844	0	0.000000	0.000000
ENSG00000005882	2245	16.860623	5.959457
ENSG00000005884	4393	20.256908	7.159888
ENSG00000005889	4813	15.974613	5.646293
ENSG00000005893	97839	378.250635	133.694250
ENSG00000005961	14	0.101669	0.035935
ENSG00000005981	4	0.026707	0.009440
ENSG00000006007	18327	159.279396	56.297961
ENSG00000006015	3583	36.723421	12.980045
ENSG00000006016	74	1.073856	0.379559
ENSG00000006025	42	0.235961	0.083401
ENSG00000006042	20900	125.185193	44.247224
ENSG00000006047	350	1.942154	0.686462
ENSG00000006059	0	0.000000	0.000000
ENSG00000006062	236	1.300994	0.459842
ENSG00000006071	10	0.038484	0.013602
ENSG00000006116	0	0.000000	0.000000
ENSG00000006118	1576	10.001780	3.535170
ENSG00000006125	29353	130.058438	45.969692
ENSG00000006128	0	0.000000	0.000000
ENSG00000006194	3134	24.125353	8.527206
ENSG00000006210	2630	11.464117	4.052040
ENSG00000006282	6726	48.016395	16.971593
ENSG00000006283	6	0.017622	0.006229
