id	count	tpm	fpkm
ENSG00000000003	5904	43.753363	16.686247
ENSG00000000005	0	0.000000	0.000000
ENSG00000000419	10767	260.887813	99.494943
ENSG00000000457	748	3.335809	1.272180
ENSG00000000460	3897	25.172917	9.600211
ENSG00000000938	0	0.000000	0.000000
ENSG00000000971	24	0.096658	0.036862
ENSG00000001036	10822	127.646951	48.680795
ENSG00000001084	2498	18.565979	7.080519
ENSG00000001167	2218	16.372458	6.243974
ENSG00000001460	1454	6.799044	2.592956
ENSG00000001461	14096	72.348143	27.591455
ENSG00000001497	5147	19.127120	7.294521
ENSG00000001561	3030	18.354464	6.999853
ENSG00000001617	1	0.007799	0.002974
ENSG00000001626	0	0.000000	0.000000
ENSG00000001629	5772	25.611108	9.767324
ENSG00000001630	452	4.030235	1.537013
ENSG00000001631	320	1.890392	0.720940
ENSG00000002016	324	3.015075	1.149861
ENSG00000002079	0	0.000000	0.000000
ENSG00000002330	1728	42.014740	16.023187
ENSG00000002549	8297	105.661476	40.296181
ENSG00000002586	25006	550.433265	209.919066
ENSG00000002587	382	1.500865	0.572386
ENSG00000002726	5	0.044867	0.017111
ENSG00000002745	0	0.000000	0.000000
ENSG00000002746	0	0.000000	0.000000
ENSG00000002822	1214	11.418093	4.354525
ENSG00000002834	17231	120.490207	45.951423
ENSG00000002919	3459	32.522227	12.403021
ENSG00000002933	0	0.000000	0.000000
ENSG00000003056	13978	160.498231	61.209307
ENSG00000003096	862	4.548727	1.734751
ENSG00000003137	19	0.117317	0.044741
ENSG00000003147	799	9.211880	3.513140
ENSG00000003249	3498	34.061484	12.990049
ENSG00000003393	4449	13.528979	5.159555
ENSG00000003400	442	2.138644	0.815616
ENSG00000003402	2312	4.451122	1.697527
ENSG00000003436	863	3.157009	1.203990
ENSG00000003509	1502	14.207585	5.418355
ENSG00000003756	2264	11.340720	4.325017
ENSG00000003987	0	0.000000	0.000000
ENSG00000003989	5913	21.778077	8.305518
ENSG00000004059	5778	107.715846	41.079657
ENSG00000004139	1491	4.081338	1.556502
ENSG00000004142	16131	169.957889	64.816943
ENSG00000004399	222	0.903395	0.344528
ENSG00000004455	37129	174.956556	66.723287
ENSG00000004468	0	0.000000	0.000000
ENSG00000004478	11723	88.771027	33.854660
ENSG00000004487	26388	240.626030	91.767694
ENSG00000004534	1854	12.061889	4.600050
ENSG00000004660	229	1.652665	0.630278
ENSG00000004700	7027	52.784867	20.130597
ENSG00000004766	4239	20.789573	7.928532
ENSG00000004776	14	0.269753	0.102876
ENSG00000004777	134	0.893484	0.340748
ENSG00000004779	10853	344.983109	131.566416
ENSG00000004799	15	0.117182	0.044690
ENSG00000004809	6	0.083024	0.031663
ENSG00000004838	128	2.029774	0.774096
ENSG00000004846	6933	33.563066	12.799967
ENSG00000004848	0	0.000000	0.000000
ENSG00000004864	15598	137.466645	52.425737
ENSG00000004866	7751	75.214370	28.684550
ENSG00000004897	15921	76.823323	29.298157
ENSG00000004939	0	0.000000	0.000000
ENSG00000004948	31	0.227755	0.086859
ENSG00000004961	6317	76.862472	29.313087
ENSG00000004975	8611	81.043646	30.907664
ENSG00000005001	0	0.000000	0.000000
ENSG00000005007	10123	53.518912	20.410540
ENSG00000005020	13274	97.269123	37.095584
ENSG00000005022	90204	1941.518387	740.438038
ENSG00000005059	2735	34.501960	13.158033
ENSG00000005073	1	0.010540	0.004020
ENSG00000005075	4746	143.252800	54.632407
ENSG00000005100	9594	48.761088	18.596046
ENSG00000005102	0	0.000000	0.000000
ENSG00000005108	7	0.018481	0.007048
ENSG00000005156	3545	11.897614	4.537400
ENSG00000005175	2447	15.864837	6.050383
ENSG00000005187	68	0.577751	0.220337
ENSG00000005189	1311	13.705040	5.226699
ENSG00000005194	6846	95.293193	36.342023
ENSG00000005206	898	6.844214	2.610182
ENSG00000005238	4348	21.194821	8.083082
ENSG00000005243	1111	34.194729	13.040864
ENSG00000005249	2834	21.611380	8.241945
ENSG00000005302	2691	11.568091	4.411730
ENSG00000005339	2109	5.498528	2.096977
ENSG00000005379	0	0.000000	0.000000
ENSG00000005381	0	0.000000	0.000000
ENSG00000005421	0	0.000000	0.000000
ENSG00000005436	3717	23.944219	9.131621
ENSG00000005448	4300	51.343382	19.580856
ENSG00000005469	2978	26.138939	9.968623
ENSG00000005471	1	0.006553	0.002499
ENSG00000005483	2016	7.287702	2.779315
ENSG00000005486	6649	99.598327	37.983874
ENSG00000005513	3	0.020321	0.007750
