id	length	gene	biotype	chr
ENSG00000223972	1657	DDX11L1	transcribed_unprocessed_pseudogene	chr1
ENSG00000227232	1351	WASH7P	unprocessed_pseudogene	chr1
ENSG00000278267	68	MIR6859-1	miRNA	chr1
ENSG00000243485	712	MIR1302-2HG	lncRNA	chr1
ENSG00000284332	138	MIR1302-2	miRNA	chr1
ENSG00000237613	1187	FAM138A	lncRNA	chr1
ENSG00000268020	840	OR4G4P	unprocessed_pseudogene	chr1
ENSG00000240361	1414	OR4G11P	transcribed_unprocessed_pseudogene	chr1
ENSG00000186092	2618	OR4F5	protein_coding	chr1
ENSG00000238009	2748	AL627309.1	lncRNA	chr1
ENSG00000239945	1319	AL627309.3	lncRNA	chr1
ENSG00000233750	3812	CICP27	processed_pseudogene	chr1
ENSG00000268903	755	AL627309.6	processed_pseudogene	chr1
ENSG00000269981	284	AL627309.7	processed_pseudogene	chr1
ENSG00000239906	323	AL627309.2	lncRNA	chr1
ENSG00000241860	4860	AL627309.5	lncRNA	chr1
ENSG00000222623	104	RNU6-1100P	snRNA	chr1
ENSG00000241599	457	AL627309.4	lncRNA	chr1
ENSG00000279928	570	DDX11L17	unprocessed_pseudogene	chr1
ENSG00000279457	1397	WASH9P	unprocessed_pseudogene	chr1
ENSG00000273874	68	MIR6859-2	miRNA	chr1
ENSG00000228463	5603	AP006222.1	transcribed_processed_pseudogene	chr1
ENSG00000286448	736	AP006222.2	lncRNA	chr1
ENSG00000236679	385	RPL23AP24	processed_pseudogene	chr1
ENSG00000236601	994	AL732372.1	lncRNA	chr1
ENSG00000237094	902	AL732372.2	transcribed_unprocessed_pseudogene	chr1
ENSG00000269732	363	WBP1LP7	processed_pseudogene	chr1
ENSG00000284733	939	OR4F29	protein_coding	chr1
ENSG00000233653	2477	CICP7	processed_pseudogene	chr1
ENSG00000250575	1239	AL732372.3	unprocessed_pseudogene	chr1
ENSG00000278757	104	U6	snRNA	chr1
ENSG00000230021	1702	AL669831.3	transcribed_processed_pseudogene	chr1
ENSG00000235146	607	AC114498.1	lncRNA	chr1
ENSG00000225972	372	MTND1P23	unprocessed_pseudogene	chr1
ENSG00000225630	1044	MTND2P28	unprocessed_pseudogene	chr1
ENSG00000237973	1543	MTCO1P12	unprocessed_pseudogene	chr1
ENSG00000278791	89	AC114498.2	miRNA	chr1
ENSG00000229344	682	MTCO2P12	unprocessed_pseudogene	chr1
ENSG00000240409	207	MTATP8P1	unprocessed_pseudogene	chr1
ENSG00000248527	681	MTATP6P1	unprocessed_pseudogene	chr1
ENSG00000198744	547	MTCO3P12	unprocessed_pseudogene	chr1
ENSG00000268663	424	WBP1LP6	processed_pseudogene	chr1
ENSG00000284662	995	OR4F16	protein_coding	chr1
ENSG00000229376	2455	CICP3	processed_pseudogene	chr1
ENSG00000228327	6432	AL669831.1	transcribed_unprocessed_pseudogene	chr1
ENSG00000223181	104	RNU6-1199P	snRNA	chr1
ENSG00000229905	456	AL669831.2	lncRNA	chr1
ENSG00000237491	2949	LINC01409	lncRNA	chr1
ENSG00000285268	114	AL669831.6	transcribed_processed_pseudogene	chr1
ENSG00000230092	872	AL669831.4	transcribed_unprocessed_pseudogene	chr1
ENSG00000177757	1947	FAM87B	lncRNA	chr1
ENSG00000228794	8389	LINC01128	lncRNA	chr1
ENSG00000225880	1317	LINC00115	lncRNA	chr1
ENSG00000288531	2509	AL669831.7	lncRNA	chr1
ENSG00000230368	1807	FAM41C	lncRNA	chr1
ENSG00000234711	1058	TUBB8P11	unprocessed_pseudogene	chr1
ENSG00000283040	837	AL669831.5	transcribed_unprocessed_pseudogene	chr1
ENSG00000272438	351	AL645608.6	lncRNA	chr1
ENSG00000230699	3043	AL645608.2	lncRNA	chr1
ENSG00000241180	443	AL645608.4	lncRNA	chr1
ENSG00000223764	4152	LINC02593	lncRNA	chr1
ENSG00000187634	3468	SAMD11	protein_coding	chr1
ENSG00000188976	4201	NOC2L	protein_coding	chr1
ENSG00000187961	2567	KLHL17	protein_coding	chr1
ENSG00000187583	3176	PLEKHN1	protein_coding	chr1
ENSG00000187642	3340	PERM1	protein_coding	chr1
ENSG00000272512	2086	AL645608.7	lncRNA	chr1
ENSG00000188290	1040	HES4	protein_coding	chr1
ENSG00000187608	787	ISG15	protein_coding	chr1
ENSG00000231702	154	AL645608.3	processed_pseudogene	chr1
ENSG00000224969	471	AL645608.1	lncRNA	chr1
ENSG00000188157	7477	AGRN	protein_coding	chr1
ENSG00000242590	402	AL645608.5	lncRNA	chr1
ENSG00000217801	1219	AL390719.1	transcribed_unprocessed_pseudogene	chr1
ENSG00000273443	829	AL645608.8	lncRNA	chr1
ENSG00000237330	1900	RNF223	protein_coding	chr1
ENSG00000131591	3315	C1orf159	protein_coding	chr1
ENSG00000285812	1095	AL390719.3	lncRNA	chr1
ENSG00000223823	1620	LINC01342	lncRNA	chr1
ENSG00000207730	95	MIR200B	miRNA	chr1
ENSG00000207607	90	MIR200A	miRNA	chr1
ENSG00000198976	83	MIR429	miRNA	chr1
ENSG00000272141	987	AL390719.2	lncRNA	chr1
ENSG00000205231	3532	TTLL10-AS1	lncRNA	chr1
ENSG00000162571	2307	TTLL10	protein_coding	chr1
ENSG00000186891	1083	TNFRSF18	protein_coding	chr1
ENSG00000186827	1707	TNFRSF4	protein_coding	chr1
ENSG00000078808	3516	SDF4	protein_coding	chr1
ENSG00000176022	2805	B3GALT6	protein_coding	chr1
ENSG00000184163	1036	C1QTNF12	protein_coding	chr1
ENSG00000260179	1558	AL162741.1	lncRNA	chr1
ENSG00000160087	2455	UBE2J2	protein_coding	chr1
ENSG00000230415	389	LINC01786	lncRNA	chr1
ENSG00000162572	3475	SCNN1D	protein_coding	chr1
ENSG00000131584	5319	ACAP3	protein_coding	chr1
ENSG00000278073	61	MIR6726	miRNA	chr1
ENSG00000169972	1783	PUSL1	protein_coding	chr1
ENSG00000127054	3079	INTS11	protein_coding	chr1
ENSG00000283712	65	MIR6727	miRNA	chr1
ENSG00000240731	386	AL139287.1	lncRNA	chr1
ENSG00000224051	2154	CPTP	protein_coding	chr1
ENSG00000169962	3475	TAS1R3	protein_coding	chr1
ENSG00000107404	3305	DVL1	protein_coding	chr1
ENSG00000284372	59	MIR6808	miRNA	chr1
ENSG00000162576	2728	MXRA8	protein_coding	chr1
